11:54:17.133 130 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
11:54:17.133 130 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:17.133 130 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
11:54:17.133 130 zb_mac_transport_linux_pipes.c:507	timer started = 1
11:54:17.133 130 zb_mac_transport_linux_pipes.c:524	default timeout 1
11:54:17.133 130 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
11:54:18.144 130 zb_mac_transport_linux_pipes.c:548	delta 1011 (66)
11:54:18.144 196 zb_mac_transport_linux_pipes.c:569	timer 196, delta_rest 0
11:54:18.144 196 zb_mac_transport_linux_pipes.c:590	timeout
11:54:18.144 196 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
11:54:18.144 196 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
11:54:18.144 196 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:18.144 196 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
11:54:18.144 196 zb_mac_transport_linux_pipes.c:507	timer started = 1
11:54:18.144 196 zb_mac_transport_linux_pipes.c:513	timer stop 257 timer 196  tmo 61
11:54:18.144 196 zb_mac_transport_linux_pipes.c:529	select() timeout 0.933000
11:54:19.078 196 zb_mac_transport_linux_pipes.c:548	delta 934 (61)
11:54:19.078 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 0
11:54:19.078 257 zb_mac_transport_linux_pipes.c:590	timeout
11:54:19.078 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
11:54:19.078 257 zb_scheduler.c:145	0x5575685f76e8 calling alarm cb 0x5575683e6692 param 0
11:54:19.078 257 mac_scan.c:208	>> zb_mlme_scan_step
11:54:19.078 257 mac_scan.c:257	set channel 12
11:54:19.078 257 mac_routines.c:225	+zb_beacon_request_command
11:54:19.078 257 mac.c:578	>>mac_fill_mhr
11:54:19.078 257 mac.c:629	<<mac_fill_mhr
11:54:19.078 257 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x5575685f7990
11:54:19.078 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #2 buf 0x5575685f7990 / 0 in_b 0 (size 11) is_w 1
11:54:19.078 257 zb_mac_transport_linux_pipes.c:182	t: start 1558169655; t 1558169659 78584, time 266
11:54:19.078 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
11:54:19.078 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:19.078 257 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
11:54:19.078 257 zb_mac_transport_linux_pipes.c:93	0B 03 08 5A FF FF FF FF 07 57 40 
11:54:19.078 257 zb_mac_transport_linux_pipes.c:446	out buffer is sent
11:54:19.078 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
11:54:19.078 257 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
11:54:19.078 257 mac_routines.c:272	<< zb_beacon_request_command ret 0
11:54:19.079 257 zb_scheduler.c:283	tm_freelist, get nent 0x5575685f7728
11:54:19.079 257 zb_scheduler.c:294	0x5575685f7728 scheduled alarm 0x5575683e6692, run_after 257, at 514, param 0
11:54:19.079 257 zb_scheduler.c:349	cur t 257, head t 260
11:54:19.079 257 mac_scan.c:338	<< zb_mlme_scan_step
11:54:19.079 257 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
11:54:19.079 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:19.079 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
11:54:19.079 257 zb_mac_transport_linux_pipes.c:507	timer started = 1
11:54:19.079 257 zb_mac_transport_linux_pipes.c:524	default timeout 1
11:54:19.079 257 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
11:54:19.082 257 zb_mac_transport_linux_pipes.c:548	delta 4 (0)
11:54:19.082 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 4
11:54:19.082 257 zb_mac_transport_linux_pipes.c:265	>>read_from_pipe
11:54:19.082 257 zb_mac_transport_linux_pipes.c:269	no buffer available, call mac to get incoming buffer
11:54:19.082 257 zb_mac_transport_linux_pipes.c:273	<<read_from_pipe 1
11:54:19.082 257 zb_mac_transport_linux_pipes.c:600	Schedule mac main loop 2
11:54:19.082 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 1
11:54:19.082 257 mac.c:325	zb_get_in_buf: zb_mac_main_loop
11:54:19.082 257 zb_bufpool.c:141	=================
11:54:19.082 257 zb_bufpool.c:142	GET BUF 0x5575685f7c10
11:54:19.082 257 zb_bufpool.c:143	ref 4
11:54:19.082 257 zb_bufpool.c:144	allocated 0: 3
11:54:19.082 257 zb_bufpool.c:145	allocated 1: 2
11:54:19.082 257 zb_bufpool.c:146	=================
11:54:19.082 257 mac.c:182	>>zb_mac_recv_data
11:54:19.082 257 zb_mac_transport_linux_pipes.c:235	>>zb_mac_start_recv buf 0x5575685f7c10
11:54:19.082 257 zb_mac_transport_linux_pipes.c:249	<<zb_mac_start_recv ret 0
11:54:19.082 257 zb_mac_transport_linux_pipes.c:265	>>read_from_pipe
11:54:19.082 257 zb_mac_transport_linux_pipes.c:79	read: len 1 total 2
11:54:19.082 257 zb_mac_transport_linux_pipes.c:93	1D 
11:54:19.082 257 zb_mac_transport_linux_pipes.c:79	read: len 28 total 29
11:54:19.082 257 zb_mac_transport_linux_pipes.c:86	00 80 3A 39 1E 00 00 FF CF 00 00 00 21 84 00 00 
11:54:19.082 257 zb_mac_transport_linux_pipes.c:93	00 00 08 07 06 05 FF FF FF 00 25 88 
